tissue_type,run,bases,download_size,accession_no,select_item_no
museum tissue,765686 ,229.7M,84.7Mb,SRX15790665,22440578
museum tissue,3900000.0,1.2G,418.9Mb,SRX15790664,22440577
museum tissue,1400000.0,433.6M,156.7Mb,SRX15790663,22440576
museum tissue,2900000.0,872M,311.6Mb,SRX15790662,22315020
blood,11300000.0,3.4G,1.2Gb,SRX15687504,22315019
blood,2300000.0,696.5M,261.6Mb,SRX15687503,22315018
blood,3000000.0,890M,354.9Mb,SRX15687502,22315017
blood,3300000.0,975.4M,357.2Mb,SRX15687501,22315016
blood,2600000.0,790.4M,298.3Mb,SRX15687500,22315015
blood,3000000.0,909.5M,338.6Mb,SRX15687499,22315014
blood,8100000.0,2.4G,922.2Mb,SRX15687498,22315013
blood,3800000.0,1.1G,411.2Mb,SRX15687497,22315012
blood,2600000.0,776.7M,290.4Mb,SRX15687496,22315011
blood,1400000.0,415.1M,154.1Mb,SRX15687495,22315010
salvaged tissue,953069 ,268.3M,104.4Mb,SRX15687494,22315009
blood,6500000.0,2G,741.1Mb,SRX15687493,22315008
blood,2100000.0,641.9M,236.1Mb,SRX15687492,22315007
blood,2700000.0,814.9M,305.7Mb,SRX15687491,22315006
blood,4300000.0,1.3G,486.8Mb,SRX15687490,22315005
blood,4099999.9999999995,1.2G,461.7Mb,SRX15687489,22315004
blood,2800000.0,845.8M,323.3Mb,SRX15687488,22315003
blood,5600000.0,1.7G,622Mb,SRX15687487,22315002
blood,4099999.9999999995,1.2G,459.4Mb,SRX15687486,22315001
blood,3600000.0,1.1G,404.5Mb,SRX15687485,22315000
blood,2600000.0,786.4M,291.8Mb,SRX15687484,22314999
salvaged tissue,738658 ,221.6M,84.5Mb,SRX15687483,22314998
blood,2400000.0,721M,275Mb,SRX15687482,22314997
blood,3700000.0,1.1G,419.8Mb,SRX15687481,22314996
blood,3900000.0,1.2G,443Mb,SRX15687480,22314995
blood,2700000.0,820.9M,304.2Mb,SRX15687479,22314994
museum tissue,1600000.0,479.9M,175.2Mb,SRX15687478,22314993
museum tissue,434813 ,130.4M,47.9Mb,SRX15687477,22314992
blood,2 ,55,407b,SRX15687476,22314991
blood,14400000.0,3.4G,1.2Gb,SRX15687475,22314990
blood,338 ,119,516b,SRX15687474,22314989
blood,15200000.0,4.5G,1.7Gb,SRX15687473,22314988
museum tissue,270807 ,81.2M,29.5Mb,SRX15687472,22314987
blood,4400000.0,1.3G,494.2Mb,SRX15687471,22314986
blood,6800000.0,2.1G,786.8Mb,SRX15687470,22314985
blood,4300000.0,1.3G,488.3Mb,SRX15687469,22314984
blood,2800000.0,833.8M,310.1Mb,SRX15687468,22314983
blood,16700000.0,5G,1.9Gb,SRX15687467,22314982
blood,2000000.0,606.7M,240.3Mb,SRX15687466,22314981
blood,2500000.0,737.4M,273.5Mb,SRX15687465,22314980
blood,7400000.0,2.2G,817Mb,SRX15687464,22314979
blood,1400000.0,411.2M,154.2Mb,SRX15687463,22314978
blood,4700000.0,1.4G,536.1Mb,SRX15687462,22314977
museum tissue,4900000.0,1.5G,540.6Mb,SRX15687461,22314976
blood,1900000.0,579.7M,212Mb,SRX15687460,22314975
blood,2000000.0,601.5M,217.2Mb,SRX15687459,22314974
blood,2100000.0,631.6M,230.8Mb,SRX15687458,22314973
blood,2600000.0,784.7M,289.2Mb,SRX15687457,22314972
blood,2900000.0,875.7M,323.1Mb,SRX15687456,22314971
blood,802134 ,240.6M,93.1Mb,SRX15687455,22314970
blood,595090 ,178.5M,68.7Mb,SRX15687454,22314969
blood,2200000.0,670.1M,259Mb,SRX15687453,22314968
blood,1700000.0,509.3M,191.3Mb,SRX15687452,22314967
blood,3000000.0,891.4M,340.8Mb,SRX15687451,22314966
museum tissue,451203 ,135.4M,50Mb,SRX15687450,22314965
blood,9300000.0,2.8G,1.1Gb,SRX15687449,22314964
blood,2 ,78,292b,SRX15687448,22314963
blood,2400000.0,475.8M,177.9Mb,SRX15687447,22314962
blood,3200000.0,963.3M,360Mb,SRX15687446,22314961
blood,2000000.0,610.4M,234Mb,SRX15687445,22314960
museum tissue,1500000.0,442.4M,162.3Mb,SRX15687444,22314959
museum tissue,5100000.0,1.5G,545.5Mb,SRX15687443,22314958
museum tissue,2400000.0,715.5M,257.8Mb,SRX15687442,22314957
museum tissue,616600 ,185M,65.8Mb,SRX15687441,22314955
museum tissue,484675 ,145.4M,53.1Mb,SRX15687439,22314953
museum tissue,43440 ,13M,4.9Mb,SRX15687437,22314951
museum tissue,2200000.0,660.2M,234.1Mb,SRX15687435,22314950
museum tissue,3100000.0,926.9M,331Mb,SRX15687434,22314948
blood,10400000.0,3.1G,1.2Gb,SRX15687432,22314947
blood,3300000.0,991M,362.7Mb,SRX15687431,22314946
blood,2900000.0,869.2M,322.9Mb,SRX15687430,22314945
blood,2300000.0,684.2M,257.6Mb,SRX15687429,22314944
museum tissue,403303 ,121M,44Mb,SRX15687428,22314943
blood,4900000.0,1.5G,538.7Mb,SRX15687427,22314942
blood,2800000.0,849.3M,316.5Mb,SRX15687426,22314941
blood,1900000.0,563.8M,211.7Mb,SRX15687425,22314940
blood,2300000.0,675.7M,252.3Mb,SRX15687424,22314939
blood,10400000.0,3.1G,1.1Gb,SRX15687423,22314938
blood,9400000.0,2.7G,1Gb,SRX15687422,22314937
blood,11300000.0,3.4G,1.3Gb,SRX15687421,22314936
blood,2400000.0,685.9M,250.8Mb,SRX15687420,22314935
blood,11300000.0,3.4G,1.3Gb,SRX15687419,22314934
blood,20100000.0,3.9G,1.4Gb,SRX15687418,22314933
museum tissue,606510 ,182M,67.9Mb,SRX15687417,22314932
museum tissue,673966 ,202.2M,72Mb,SRX15687416,22314931
museum tissue,882282 ,264.7M,94Mb,SRX15687415,22314930
museum tissue,6800000.0,2G,743.8Mb,SRX15687414,22314929
salvaged tissue,3900000.0,1.2G,461Mb,SRX15687413,22314928
salvaged tissue,3500000.0,1.1G,418.2Mb,SRX15687412,22314927
salvaged tissue,1100000.0,322.3M,122Mb,SRX15687411,22314926
salvaged tissue,132 ,99,071b,SRX15687410,22314925
salvaged tissue,3000000.0,896.5M,349.2Mb,SRX15687409,22314924
museum tissue,684662 ,205.4M,73.7Mb,SRX15687408,22314923
museum tissue,55469 ,16.6M,6.7Mb,SRX15687407,22314922
museum tissue,994483 ,298.3M,112.3Mb,SRX15687406,22314921
salvaged tissue,885904 ,265.8M,104Mb,SRX15687405,22314920
museum tissue,4200000.0,1.3G,487.8Mb,SRX15687404,22314919
museum tissue,1478 ,262,960b,SRX15687403,22314918
museum tissue,123931 ,37.2M,14.4Mb,SRX15687402,22314917
museum tissue,4900000.0,1.5G,533Mb,SRX15687401,22314916
blood,590934 ,177.3M,65.1Mb,SRX15687400,22314915
blood,12000000.0,3.2G,1.2Gb,SRX15687399,22314914
blood,4000000.0,1.2G,461.9Mb,SRX15687398,22314913
blood,7100000.0,2.1G,814.3Mb,SRX15687397,22314912
blood,2700000.0,809.8M,308.9Mb,SRX15687396,22314911
blood,2100000.0,636.1M,236.7Mb,SRX15687395,22314910
salvaged tissue,57 ,87,128b,SRX15687394,22314909
museum tissue,300790 ,90.2M,34.1Mb,SRX15687393,22314908
